_id,Date,Address,Postal_Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
723,2019-01-24T00:00:00,"66 ORWELL ROAD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€2,625,000.00",No,No,Second-Hand Dwelling house /Apartment,
425,2019-01-17T00:00:00,"TORCA, ELTON PARK, SANDYCOVE",,Dublin,"€2,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
9626,2019-08-02T00:00:00,"90 UPPER LEESON ST, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"€2,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
9134,2019-07-23T00:00:00,"ST JOHNS HALL SALLE DARMES, ST JOHNS RD, SANDYMOUNT DUBLIN 4",Dublin 4,Dublin,"€2,520,000.00",No,No,Second-Hand Dwelling house /Apartment,
10,2019-01-03T00:00:00,"15 ALMA RD, MONKSTOWN, DUBLIN",,Dublin,"€2,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
367,2019-01-16T00:00:00,"BALROY, CARPENTERSTOWN RD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€2,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
8952,2019-07-18T00:00:00,"OSSORY LODGE, BALLYGIHEN AVE, SANDYCOVE",,Dublin,"€2,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
9416,2019-07-30T00:00:00,"OLDTOWN HOUSE, KILGOBBIN, DUBLIN 18",Dublin 18,Dublin,"€2,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
667,2019-01-23T00:00:00,"THORNFIELD, WESTMINSTER RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€2,475,000.00",No,No,Second-Hand Dwelling house /Apartment,
9196,2019-07-25T00:00:00,"1 MILLRACE COURT, CLONSKEAGH RD, CLONSKEAGH",Dublin 6,Dublin,"€2,425,000.00",No,No,Second-Hand Dwelling house /Apartment,
5843,2019-05-17T00:00:00,"26 CLAREMONT RD, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€2,420,000.00",No,No,Second-Hand Dwelling house /Apartment,
3665,2019-03-29T00:00:00,"24A 25 25A, HILL STREET, DUBLIN 1",Dublin 1,Dublin,"€2,407,000.00",No,No,Second-Hand Dwelling house /Apartment,
8235,2019-07-04T00:00:00,"17 ELGIN RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€2,400,000.00",No,No,Second-Hand Dwelling house /Apartment,
9422,2019-07-31T00:00:00,"1 KENILWORTH ROAD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€2,400,000.00",No,No,Second-Hand Dwelling house /Apartment,
6651,2019-05-31T00:00:00,"CARRIGOONA, CEANCHAR RD, BAILEY",Dublin 13,Dublin,"€2,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
799,2019-01-25T00:00:00,"52 LEESON PARK, DUBLIN 6, DUBLIN",Dublin 6,Dublin,"€2,325,000.00",No,No,Second-Hand Dwelling house /Apartment,
9034,2019-07-22T00:00:00,"12 AILESBURY WOOD, AILESBURY RD, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€2,300,000.00",No,No,Second-Hand Dwelling house /Apartment,
3743,2019-04-01T00:00:00,"15 PALMERSTON RD, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€2,290,000.00",No,No,Second-Hand Dwelling house /Apartment,
2620,2019-03-05T00:00:00,"SAINTBURY, SAINTBURY AVE, KILLINEY",,Dublin,"€2,275,000.00",No,No,Second-Hand Dwelling house /Apartment,
2204,2019-02-25T00:00:00,"VERONA, KERRYMOUNT AVE, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€2,210,000.00",No,No,Second-Hand Dwelling house /Apartment,
5005,2019-04-29T00:00:00,"82 GEORGES AVENUE, BLACKROCK, CO DUBLIN",,Dublin,"€2,200,000.00",No,No,Second-Hand Dwelling house /Apartment,
2872,2019-03-11T00:00:00,"68 UPPER RATHMINES RD F1, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€2,175,000.00",No,No,Second-Hand Dwelling house /Apartment,
4944,2019-04-26T00:00:00,"80 EGLINTON RD, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,"€2,175,000.00",No,No,Second-Hand Dwelling house /Apartment,
7307,2019-06-17T00:00:00,"353 BLACKHOUSE AVE, PHOENIX PARK, DUBLIN 7",Dublin 7,Dublin,"€2,175,000.00",No,No,Second-Hand Dwelling house /Apartment,
2357,2019-02-28T00:00:00,"14 Warrington, Place",Dublin 2,Dublin,"€2,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
7706,2019-06-24T00:00:00,"APT 2, 57 MARLBOROUGH ROAD, DONNYBROOK",,Dublin,"€2,090,000.00",No,No,Second-Hand Dwelling house /Apartment,
4311,2019-04-11T00:00:00,"Flat 1-12  41A STANFIELD HOUSE, STRAND RD, SANDYMOUNT DUBLIN 4",Dublin 4,Dublin,"€2,080,000.00",No,No,Second-Hand Dwelling house /Apartment,
7563,2019-06-21T00:00:00,"1 FITZWILLIAM SQUARE, DUBLIN 2, D02XY95",,Dublin,"€2,080,000.00",No,No,Second-Hand Dwelling house /Apartment,
4490,2019-04-16T00:00:00,"18 Enderly, Cunningham Drive, Dalkey",,Dublin,"€2,070,485.00",No,Yes,New Dwelling house /Apartment,
6220,2019-05-24T00:00:00,"LAS ROCAS, ST FINTANS RD, SUTTON DUBLIN 13",Dublin 13,Dublin,"€2,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
1100,2019-02-01T00:00:00,"22 ANGLESEA RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,985,000.00",No,No,Second-Hand Dwelling house /Apartment,
5036,2019-04-30T00:00:00,"27 MARLBOROUGH RD, GLENAGEARY, DUBLIN",,Dublin,"€1,975,000.00",No,No,Second-Hand Dwelling house /Apartment,
3147,2019-03-15T00:00:00,"SUANTRAI, KNOCKSINNA, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€1,950,000.00",No,No,Second-Hand Dwelling house /Apartment,
4418,2019-04-12T00:00:00,"WILLOW BROOK, 2 SAVAL PARK SAVAL PARK RD, DALKEY",,Dublin,"€1,950,000.00",No,No,Second-Hand Dwelling house /Apartment,
7973,2019-06-28T00:00:00,"3 WINDSOR TERRACE, CHURCH RD, MALAHIDE",,Dublin,"€1,950,000.00",No,No,Second-Hand Dwelling house /Apartment,
9253,2019-07-25T00:00:00,"FAIRFILED HOUSE, 3A RATHGAR AVE, RATHGAR",Dublin 6,Dublin,"€1,940,000.00",No,No,Second-Hand Dwelling house /Apartment,
8495,2019-07-10T00:00:00,"11 BUSHY PARK RD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€1,937,500.00",No,No,Second-Hand Dwelling house /Apartment,
9135,2019-07-23T00:00:00,"WOODLANDS, WINDGATE ROAD, HOWTH",,Dublin,"€1,930,000.00",No,No,Second-Hand Dwelling house /Apartment,
5685,2019-05-15T00:00:00,"1 WINDSOR TERRACE, CHURCH RD, MALAHIDE",,Dublin,"€1,925,000.00",No,No,Second-Hand Dwelling house /Apartment,
5736,2019-05-15T00:00:00,"MARYFIELD, SCHOLARSTOWN RD, TEMPLEOGUE DUBLIN 16",Dublin 16,Dublin,"€1,925,000.00",No,No,Second-Hand Dwelling house /Apartment,
8136,2019-07-02T00:00:00,"32 ST KEVINS PARK, DARTRY, DUBLIN 6",Dublin 6,Dublin,"€1,925,000.00",No,No,Second-Hand Dwelling house /Apartment,
3292,2019-03-21T00:00:00,"8 MARETIMO, GARDEN EAST, BLACKROCK",,Dublin,"€1,915,000.00",No,No,Second-Hand Dwelling house /Apartment,
3913,2019-04-03T00:00:00,"ROSLYN, CLAREMONT RD, HOWTH DUBLIN 13",Dublin 13,Dublin,"€1,910,000.00",No,No,Second-Hand Dwelling house /Apartment,
7827,2019-06-26T00:00:00,"FLAT 7, 68 RATHGAR ROAD, DUBLIN 6",,Dublin,"€1,910,000.00",No,No,Second-Hand Dwelling house /Apartment,
4043,2019-04-05T00:00:00,"CALDRAGH, SAVAL PARK ROAD, DALKEY",,Dublin,"€1,908,000.00",No,No,Second-Hand Dwelling house /Apartment,
1096,2019-02-01T00:00:00,"2 GROVE ROAD, MALAHIDE, CO DUBLIN",,Dublin,"€1,900,000.00",No,No,Second-Hand Dwelling house /Apartment,
7454,2019-06-19T00:00:00,"APT 1, 58 CAPEL ST., DUBLIN",,Dublin,"€1,900,000.00",No,No,Second-Hand Dwelling house /Apartment,
8391,2019-07-05T00:00:00,"WESTMINISTER LODGE MEWS, WESTMINISTER GROVE, OLD BRAY RD",Dublin 18,Dublin,"€1,900,000.00",No,No,Second-Hand Dwelling house /Apartment,
3927,2019-04-04T00:00:00,"24 Glenart Avenue, Blackrock",,Dublin,"€1,894,273.10",No,Yes,New Dwelling house /Apartment,
7141,2019-06-14T00:00:00,"12 13  14 & 15, Stanford House, Westminster Road",,Dublin,"€1,894,273.00",No,Yes,New Dwelling house /Apartment,
8055,2019-07-01T00:00:00,"16 ROSTREVOR RD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€1,875,000.00",No,No,Second-Hand Dwelling house /Apartment,
1368,2019-02-08T00:00:00,"16 Enderly, Cunningham Drive, Dalkey",,Dublin,"€1,850,220.00",No,Yes,New Dwelling house /Apartment,
503,2019-01-18T00:00:00,"SILVERACRE, 724 HOWTH RD, DUBLIN 5",Dublin 5,Dublin,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
3374,2019-03-22T00:00:00,"LYNBANK, KILLINEY HILL RD, KILLINEY",,Dublin,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
3909,2019-04-03T00:00:00,"BELROBIN, 46 NEWTOWN PARK AVENUE, BLACKROCK CO. DUBLIN",,Dublin,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
7367,2019-06-18T00:00:00,"37 MOUNTAIN VIEW RD, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
8425,2019-07-08T00:00:00,"8 ELTON PARK, SANDYCOVE, DUBLIN",,Dublin,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
